comentario,resposta_api
The only artist keeping the 80’s pop music vibe alive🙏🏽🙏🏽,"I would classify this comment as Positive. The user is expressing appreciation for the artist's ability to keep the 80's pop music genre alive, using enthusiastic language and emojis (🙏🏽) to convey their enthusiasm and gratitude."
This gives me such 80s vibes!! ❤❤❤  I couldn't love this enough.,"I would classify this comment as Positive. The commenter uses enthusiastic language (""couldn't love this enough"") and multiple heart symbols (❤❤❤) to express their strong affection for the music video, indicating a positive sentiment towards it."
"The Weeknd's ""Dancing in the Flames"" is a masterpiece. The way he captures the intensity and passion of the lyrics is incredible. It's a song that stays with you long after it's over.","I would classify this comment as Positive. The commenter uses superlatives such as ""masterpiece"", ""incredible"", and describes the song as having a lasting impact, indicating a very positive sentiment towards the music video and song."
This song is the best gives u the best feeling ever so happy love this feeling of this song so beautiful !!! Weekend makes the best nostalgic music,"I would classify this comment as Positive. The commenter uses superlatives such as ""best"", ""so happy"", and ""beautiful"" to express their enthusiasm and affection for the song, indicating a strongly positive sentiment."
"This song feels like dancing with your demons while watching your soul burn. The Weeknd never fails to capture the beauty in pain. 🔥🔥 Who else feels every lyric hit deep?""","I would classify this comment as Positive. This is because the commenter is praising The Weeknd's ability to capture ""the beauty in pain"" and implying that his song has a profound emotional impact on them, which is expressed through their enthusiastic use of fire emojis (🔥)."
"I'm 54 years old.   This music... that beat.. for all you younger people, this music was called Freestyle back in the 80's-90's.    Glad to hear a modern interpretation of that style of music.","I would classify this comment as Positive. The commenter expresses nostalgia and appreciation for the music, being ""glad"" to see a modern interpretation of their favorite style from their youth, which indicates a positive sentiment towards the video."
"I believe that somewhere in the world, there are people who feel the same emotions that I feel when I listen to masterpieces like this song 💕💕💕","I would classify this comment as Positive. The user explicitly expresses their emotional connection to the song using words like ""masterpiece"" and emojis (💕) conveying enthusiasm and admiration, indicating a strongly positive sentiment towards the music."
Has a different vibe now after the flames in LA,"I would classify this comment as Positive. The phrase ""different vibe"" implies that the commenter has a new appreciation or perspective on the song/video, which is conveyed in a neutral tone but ultimately positive in sentiment since it's not critical or negative."
I love how the last verse hints the last chapter to the trilogy! “The Final Odyssey” 🔥💯,"Positive

Justification: The use of enthusiastic language such as ""love"" and emojis like 🔥💯 convey a strong sense of excitement and admiration for the music video, specifically its creative storytelling aspect."
Bro!!!! Listen to the lyrics!!!!! This is actually happing in California with the fires!!!,"I would classify this comment as Positive. The use of enthusiastic language (""Bro!!!!""), emphasis on the importance of listening to the lyrics, and expression of concern for a specific issue (California wildfires) all contribute to a positive tone."
