comentario,resposta_api
"We must give juice to this girls writing , melody and delivery. Excited for a full project","I would classify this comment as Positive. The commenter uses enthusiastic language (""Excited""), praises the artist's skills (""writing"", ""melody"", ""delivery""), and expresses eagerness for more content, indicating a strong positive sentiment towards the music video."
"the lyrics, the voice control… omg she is incredible","I would classify this comment as Positive. The language used, such as ""omg"" and ""incredible"", expresses strong enthusiasm and admiration for the artist's performance."
This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,"I would classify this comment as Positive. The user explicitly states that the song makes them feel ""relaxed"" and ""in the mood for summer vibes"", indicating a positive emotional response, and also expresses their admiration for the artist (""Tyla never disappoints"") which further reinforces the positivity of the comment."
"I love this. It's a whole vibe. I hope you keep making songs like this. Don't switch up, this is what we want to hear.","I would classify this comment as Positive. The user explicitly states that they ""love"" the video and uses enthusiastic language (""whole vibe""), expressing their admiration for the artist's work and encouraging them to continue creating similar content."
"The chorus was SO ADDICTING like LITERALLY!! And GOSH, her voice is like SO pretty💗","I would classify this comment as Positive. The use of superlatives such as ""SO ADDICTING"" and ""like SO pretty"" convey a strong enthusiasm and admiration for the music video, indicating a positive sentiment."
I have never heard such immense vocals in such an up tempo track truely phenomenal especially they way the vocal agility is so consistent and controlled utter perfection👀,"I would classify this comment as Positive. The user uses superlatives like ""truly phenomenal"", ""utter perfection"" and exclaims that the vocals are ""immense"", showcasing their enthusiastic admiration for the music."
"What a song! This has to be one of the best songs of this season . The harmony, melody, etc. I love this song.","I would classify this comment as Positive. The use of superlatives (""one of the best""), enthusiastic language (""What a song!""), and explicit expression of love for the song (""I love this song"") all indicate a strong positive sentiment towards the music video."
"Wow, this song is an absolute masterpiece! 🎵❤️ I can't get enough of it, and it's been on repeat since I discovered it. The lyrics, the melody, everything about it is just perfect. Who else can't stop listening to this gem? 🔥👏","I would classify this comment as Positive.

Justification: The commenter uses superlatives such as ""masterpiece"" and ""perfect"", and expresses a strong emotional connection with the song, stating that they've had it on repeat. The use of enthusiastic emojis like 🎵❤️ and 🔥 also conveys a highly positive sentiment."
"This song from the beat, melody, lyrics in the writing, the structure, the vibe is on point, it’s damn there perfect","I would classify this comment as Positive. The commenter uses superlatives such as ""on point"", ""perfect"" and phrases like ""it's damn there"" to express their enthusiasm and admiration for the song."
"Having listened to this song for the first time reconnected me with my femininity, and now I am addicted to it. It made me feel like I could express myself without fear of judgement. The lyrics spoke to me in a way that no other song had, and I felt like I was being understood and accepted. This song has become my anthem.","I classify this comment as Positive. The commenter expresses a strong emotional connection with the song, feeling understood and accepted through its lyrics, and even calls it their ""anthem"", indicating a deep appreciation and loyalty towards the music."
